 53515.58       0.000      -5.301 8 
 53516.00       0.000      -5.398 8 
 53516.58       0.000      -5.538 8 
 53517.00       0.000      -5.786 8 
 53517.58       0.000      -5.866 8 
 53518.00       0.000      -5.927 8 
 53518.58       0.000      -6.070 8 
 53519.00       0.000      -6.178 8 
 53519.58       0.000      -6.333 8 
 53520.00       0.000      -6.434 8 
 53520.58       0.000      -6.646 8 
 53521.00       0.000      -6.808 8 
 53521.58       0.000      -7.037 8 
 53522.00       0.000      -7.199 8 
 53522.58       0.000      -7.421 8 
 53523.00       0.000      -7.582 8 
 53523.58       0.000      -7.768 8 
 53524.00       0.000      -7.889 8 
 53524.58       0.000      -8.058 8 
 53525.00       0.000      -8.185 8 
 53525.58       0.000      -8.406 8 
 53526.00       0.000      -8.572 8 
 53526.58       0.000      -8.804 8 
 53527.00       0.000      -8.966 8 
 53527.58       0.000      -9.218 8 
 53528.00       0.000      -9.399 8 
 53528.58       0.000      -9.708 8 
 53529.00       0.000      -9.941 8 
 53529.58       0.000     -10.257 8 
 53530.00       0.000     -10.487 8 
 53530.58       0.000     -10.765 8 
 53531.00       0.000     -10.969 8 
 53531.58       0.000     -11.220 8 
 53532.00       0.000     -11.398 8 
 53532.58       0.000     -11.618 8 
 53533.00       0.000     -11.781 8 
 53533.58       0.000     -11.991 8 
 53534.00       0.000     -12.141 8 
 53534.58       0.000     -12.344 8 
 53535.00       0.000     -12.476 8 
 53535.58       0.000     -12.712 8 
 53536.00       0.000     -12.886 8 
 53536.58       0.000     -13.176 8 
 53537.00       0.000     -13.393 8 
 53537.58       0.000     -13.723 8 
 53538.00       0.000     -13.958 8 
 53538.58       0.000     -14.287 8 
 53539.00       0.000     -14.530 8 
 53539.58       0.000     -14.838 8 
 53540.00       0.000     -15.056 8 
 53540.58       0.000     -15.334 8 
 53541.00       0.000     -15.528 8 
 53541.58       0.000     -15.829 8 
 53542.00       0.000     -16.041 8 
 53542.58       0.000     -16.359 8 
 53543.00       0.000     -16.591 8 
 53543.58       0.000     -16.919 8 
 53544.00       0.000     -17.146 8 
 53544.58       0.000     -17.456 8 
 53545.00       0.000     -17.679 8 
 53545.58       0.000     -17.999 8 
 53546.00       0.000     -18.226 8 
 53546.58       0.000     -18.568 8 
 53547.00       0.000     -18.809 8 
 53547.58       0.000     -19.181 8 
 53548.00       0.000     -19.450 8 
 53548.58       0.000     -19.815 8 
 53549.00       0.000     -20.069 8 
 53549.58       0.000     -20.421 8 
 53550.00       0.000     -20.667 8 
 53550.58       0.000     -21.021 8 
 53551.00       0.000     -21.275 8 
 53551.58       0.000     -21.655 8 
 53552.00       0.000     -21.930 8 
 53552.58       0.000     -22.355 8 
